Hospital County,Mean_Cost_Difference,Mean_Cost_Ratio,Latitude,Longitude
Albany,42399.90382969399,3.368517156529591,42.6511674,-73.754968
Allegany,8139.81125,2.268491153530834,42.2446061,-78.0419281
Bronx,68390.48134302719,3.988944239227876,40.8466508,-73.8785937
Broome,25455.323063872256,2.505045427109527,42.145562299999995,-75.8404114
Cattaraugus,13976.480150431566,2.550968115306314,42.2234823,-78.6477096
Cayuga,19192.331664739886,3.5859033428357474,42.8093409,-76.5700777
Chautauqua,8605.975694270703,1.9623208560439154,42.2894671,-79.421728
Chemung,19878.307229826354,2.3900468078424657,42.1384667,-76.7725493
Chenango,23183.61947368421,3.247086769977232,42.4784565,-75.6130279
Clinton,37258.14030269308,2.9072274118309487,40.7652778,-73.993889
Columbia,21935.790828203695,2.6532880895015705,42.2415027,-73.6723456
Cortland,14267.665454545453,2.1188541252814748,42.5842136,-76.0704906
Delaware,6972.118560606061,1.593545790936401,42.194917,-75.0016302
Dutchess,55115.63263450934,3.5013664584283193,41.7194303,-73.7516205
Erie,32198.071015822126,2.485015665738504,42.7164263,-78.7620327
Franklin,16187.767507625273,2.2038851516267366,44.5599139,-74.3273735
Fulton,18680.92220218931,4.513285201226214,43.1061507,-74.4461771
Genesee,12021.580190336748,2.1431425141430385,43.0102726,-78.1780196
Herkimer,7652.706666666667,1.7982267259202582,43.4911326,-74.9481252
Jefferson,11857.64912564767,2.0250370612721817,44.059311,-75.9995742
Kings,50828.70754988155,3.374806102331086,43.1509069,-73.8542895
Lewis,12562.283925159236,2.025630926543932,43.7344277,-75.440289
Livingston,13116.613078484437,3.6538135342887506,42.7360902,-77.7781416
Madison,9254.354840963857,1.8558635472600027,42.875882,-75.6802581
Manhattan,87653.3999759161,4.348013173070104,40.7896239,-73.9598939
Monroe,30212.830371161683,2.4389555258131006,41.3304767,-74.1866348
Montgomery,17185.668280060883,2.2748921071249066,42.8941269,-74.4099745
Nassau,91697.19459596383,4.837346180434314,40.7352994,-73.5615778
Niagara,9408.037231840797,1.8055633129245887,43.2042439,-78.7676017
Oneida,37746.58013644116,3.5125409797822744,43.2144051,-75.4039155
Onondaga,40977.916979634494,3.0118850264527404,43.015598,-76.2257127
Ontario,14355.404706378671,2.308326597020271,42.8580624,-77.295025
Orange,55994.344863509454,4.153336048901187,41.3873306,-74.2507287
Orleans,5737.534363636364,1.6151907732273523,43.2244513,-78.2272835
Oswego,11492.931440763052,1.8555370480849573,43.4112973,-76.1279841
Otsego,16253.132597075932,1.8179769000269181,42.5984272,-75.0142701
Putnam,19979.856877448237,2.0881930600418968,41.426996,-73.760156
Queens,54865.344384791024,4.300740267732677,40.6515585,-73.79267536317502
Rensselaer,26877.29508413967,4.146222020756134,42.7091389,-73.5107732
Richmond,51589.113904997466,3.5397851952526485,42.7905911,-77.5319396
Rockland,79985.22275376068,5.686980417186025,41.1519319,-74.0357266
Saratoga,44106.58059209391,4.1434105978715206,43.0833231,-73.8712155
Schenectady,35940.441905770786,2.9812231656638537,42.8142432,-73.9395687
Schoharie,2162.261130952381,1.2296806088939045,42.5757217,-74.4390277
St Lawrence,10390.038274784347,2.337095633424637,44.4973591,-75.0657043
Steuben,22316.11497134123,2.8144206458808902,42.2359045,-77.3750862
Suffolk,66650.50294340636,4.3268619118943095,40.8832318,-72.8578027
Sullivan,41328.274841149774,3.5853489070022087,41.7156311,-74.7804323
Tompkins,8584.270866840732,1.602182228177352,42.118333,-75.249444
Ulster,77250.29765092878,5.805666115988248,41.8689317,-74.2618518
Warren,19785.74400108186,2.3525590607262727,43.5018687,-73.8164637
Wayne,16157.518835647112,2.554012505658119,43.1500557,-77.0377603
Westchester,81743.11104609822,3.9614747923541738,41.1763139,-73.7907554
Wyoming,5271.619325699746,2.004091713969862,42.7039813,-78.2415228
Yates,10476.79204819277,1.9403024139298628,42.6444444,-77.112177
